 
fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Ago 2 2016,"323,711.00",PFDAVVNDA ,"8,759,015,260.00","27,060.00",.45
Ago 2 2016,"250,757.00",PFBCOLOM  ,"6,522,592,940.00","26,080.00",.23
Ago 2 2016,"103,913.00",GRUPOSURA ,"4,003,227,440.00","38,580.00",-.10
Ago 2 2016,"356,234.00",PFCEMARGOS,"3,825,967,860.00","10,780.00",.37
Ago 2 2016,"128,135.00",NUTRESA   ,"3,232,753,560.00","25,140.00",.00
Ago 2 2016,"236,825.00",CEMARGOS  ,"2,751,670,840.00","11,680.00",.52
Ago 2 2016,"2,291,344.00",PFAVAL    ,"2,687,548,895.00","1,175.00",.00
Ago 2 2016,"286,908.00",ISA       ,"2,619,156,710.00","9,160.00",.33
Ago 2 2016,"66,908.00",PFGRUPSURA,"2,511,508,440.00","37,460.00",-1.00
Ago 2 2016,"200,000.00",HCOLSEL   ,"2,372,900,000.00","11,830.00",-.50
Ago 2 2016,"95,824.00",GRUPOARGOS,"1,790,838,340.00","18,680.00",.32
Ago 2 2016,"1,197,696.00",ELCONDOR  ,"1,478,907,930.00","1,235.00",.41
Ago 2 2016,"31,877.00",CORFICOLCF,"1,221,670,220.00","38,400.00",.26
Ago 2 2016,"256,207.00",CELSIA    ,"972,569,785.00","3,810.00",.26
Ago 2 2016,"95,383.00",CNEC      ,"907,739,160.00","9,560.00",3.69
Ago 2 2016,"45,609.00",PFGRUPOARG,"816,279,980.00","17,900.00",.45
Ago 2 2016,"308,700.00",EEB       ,"560,447,000.00","1,820.00",.28
Ago 2 2016,"36,200.00",ICOLCAP   ,"476,822,500.00","13,137.50",-.36
Ago 2 2016,"38,222.00",CLH       ,"463,894,200.00","12,100.00",-1.31
Ago 2 2016,"17,723.00",BCOLOMBIA ,"428,594,640.00","24,200.00",.00
Ago 2 2016,"161,891.00",PFAVH     ,"370,763,060.00","2,280.00",-1.72
Ago 2 2016,"5,000.00",GRUBOLIVAR,"261,040,000.00","52,200.00",-.61
Ago 2 2016,"2,739.00",BOGOTA    ,"159,036,780.00","58,700.00",.00
