FECHA,NEMO,MONTO,CANTIDAD,PRECIO CIERRE,PRECIO MIN,PRECIO MAX,PRECIO PROM
2016-01-07,PFVILLAS,0,0,6000,0,0,0
2016-01-07,PFVILLASCA,0,0,2700,0,0,0
2016-01-07,POPULAR,1732500,3500,500,0,0,495
2016-01-07,PPH,0,0,205100,0,0,0
2016-01-07,PREC,131758110,38351,3490,3350,3490,3435.58
2016-01-07,PROMIGAS,0,0,5000,0,0,0
2016-01-07,PROTECCION,0,0,71000,0,0,0
2016-01-07,RSX,0,0,49300,0,0,0
2016-01-07,SDIV,0,0,66080,0,0,0
2016-01-07,SOCBOLIVAR,0,0,57000,0,0,0
2016-01-07,TABLEMAC,0,0,9,0,0,0
2016-01-07,TERPEL,42011600,5000,8400,8400,8400,8402.32
2016-01-07,TGLSC,446099200,9866,45000,44980,46000,45215.81
2016-01-07,VALINDUSTR,0,0,5500,0,0,0
2016-01-07,VALOREM,0,0,460,0,0,0
2016-01-07,VALSIMESA,0,0,1500,0,0,0
2016-01-07,VILLAS,0,0,9500,0,0,0
2016-01-08,AAPL,161250000,500,322500,322500,322500,322500
2016-01-08,AMZN,0,0,2299900,0,0,0
2016-01-08,BAC,50800000,1000,50800,50800,50800,50800
2016-01-08,BBH,0,0,384400,0,0,0
2016-01-08,BBVACOL,0,0,240,0,0,0
2016-01-08,BCOLOMBIA,480053720,24018,19900,19900,20060,19987.25
2016-01-08,BIOMAX,0,0,1750,0,0,0
2016-01-08,BMC,0,0,841,0,0,0
2016-01-08,BOGOTA,24040800,420,57240,57240,57240,57240
2016-01-08,BVC,11099178.3,641571,17.3,17.3,17.3,17.3
2016-01-08,C,0,0,174560,0,0,0
2016-01-08,CARTON,0,0,4600,0,0,0
2016-01-08,CELSIA,27256200,9160,2970,2970,2970,2975.57
2016-01-08,CEMARGOS,1023506410,112654,9110,9030,9180,9085.4
2016-01-08,CLH,7631485380,747819,10300,10100,10300,10204.99
2016-01-08,CNEC,211939680,36633,5850,5730,5890,5785.49
